model_name,run_id,train_accuracy,train_precision_macro,train_recall_macro,train_f1_macro,val_accuracy,val_precision_macro,val_recall_macro,val_f1_macro,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro
XGBoost,8d3bb997016241bd9b7d146e81c1f987,0.7870500927643784,0.6942906080473937,0.8253356855114138,0.7197936926976761,0.6956910569105691,0.5497980275724588,0.5576089271721782,0.542651867535661,0.7003333333333334,0.5530166630675161,0.5595918392149853,0.5451133794706333
Random Forest,bb08ab18300542dbb456368bd688743e,0.6790538033395176,0.5844421620663708,0.6354327957521783,0.563903337825182,0.6565040650406504,0.5451297711021734,0.5695972368073575,0.5229456244642917,0.6503333333333333,0.5438738123521824,0.5664023457181493,0.5169600036386944
Logistic Regression,bbb3d7e9e895446c8e5030e1c337e3ff,0.6314285714285715,0.547635569693215,0.5717485937503718,0.5031735018982826,0.6465040650406504,0.5477295554968384,0.5722701424665182,0.5088049883095501,0.6386666666666667,0.5398358462782609,0.5573399507563974,0.4965125222682237
